Commodity,State,Units,Year,Value
Beef and veal,Vermont,Million dollars,2008,3.1949
Beef and veal,Vermont,Million dollars,2009,2.9084
Beef and veal,Vermont,Million dollars,2010,3.3357
Beef and veal,Vermont,Million dollars,2011,6.1793
Beef and veal,Vermont,Million dollars,2012,5.6053
Beef and veal,Vermont,Million dollars,2013,7.153
Beef and veal,Vermont,Million dollars,2014,7.3391
Beef and veal,Vermont,Million dollars,2015,7.1552
Beef and veal,Vermont,Million dollars,2016,5.8958
Beef and veal,Vermont,Million dollars,2017,6.5464
Beef and veal,Vermont,Million dollars,2018,8.1713
Beef and veal,Vermont,Million dollars,2019,8.3254
Beef and veal,Vermont,Million dollars,2020,8.5443
Beef and veal,Vermont,Million dollars,2022,10.8139
Beef and veal,Vermont,Million dollars,2023,11.199
Beef and veal,Vermont,Million dollars,2021,9.5185
Beef and veal,Virginia,Million dollars,2000,27.4262
Beef and veal,Virginia,Million dollars,2001,29.3727
Beef and veal,Virginia,Million dollars,2002,27.1088
Beef and veal,Virginia,Million dollars,2003,28.8494
Beef and veal,Virginia,Million dollars,2004,5.41
Beef and veal,Virginia,Million dollars,2005,11.4209
Beef and veal,Virginia,Million dollars,2006,17.3622
Beef and veal,Virginia,Million dollars,2007,21.9339
Beef and veal,Virginia,Million dollars,2008,26.0684
Beef and veal,Virginia,Million dollars,2009,20.287
Beef and veal,Virginia,Million dollars,2010,29.7661
Beef and veal,Virginia,Million dollars,2011,39.4963
Beef and veal,Virginia,Million dollars,2012,34.4658
Beef and veal,Virginia,Million dollars,2013,51.8569
Beef and veal,Virginia,Million dollars,2014,62.7327
Beef and veal,Virginia,Million dollars,2015,52.6592
Beef and veal,Virginia,Million dollars,2016,41.505
Beef and veal,Virginia,Million dollars,2017,50.8858
Beef and veal,Virginia,Million dollars,2018,51.7138
Beef and veal,Virginia,Million dollars,2019,41.8889
Beef and veal,Virginia,Million dollars,2020,45.2582
Beef and veal,Virginia,Million dollars,2022,66.4804
Beef and veal,Virginia,Million dollars,2023,51.7062
Beef and veal,Virginia,Million dollars,2021,55.1525
Beef and veal,Washington,Million dollars,2000,67.5711
Beef and veal,Washington,Million dollars,2001,54.944
Beef and veal,Washington,Million dollars,2002,51.6712
Beef and veal,Washington,Million dollars,2003,47.697
Beef and veal,Washington,Million dollars,2004,9.2545
Beef and veal,Washington,Million dollars,2005,19.4648
Beef and veal,Washington,Million dollars,2006,26.8567
Beef and veal,Washington,Million dollars,2007,38.1376
Beef and veal,Washington,Million dollars,2008,39.9142
Beef and veal,Washington,Million dollars,2009,42.0789
Beef and veal,Washington,Million dollars,2010,52.0236
Beef and veal,Washington,Million dollars,2011,59.1776
Beef and veal,Washington,Million dollars,2012,65.6066
Beef and veal,Washington,Million dollars,2013,80.4605
Beef and veal,Washington,Million dollars,2014,83.2578
Beef and veal,Washington,Million dollars,2015,81.891
Beef and veal,Washington,Million dollars,2016,82.9007
Beef and veal,Washington,Million dollars,2017,83.0135
Beef and veal,Washington,Million dollars,2018,93.1239
Beef and veal,Washington,Million dollars,2019,104.4169
Beef and veal,Washington,Million dollars,2020,128.5351
Beef and veal,Washington,Million dollars,2022,206.1885
Beef and veal,Washington,Million dollars,2023,208.7584
Beef and veal,Washington,Million dollars,2021,175.9712
Beef and veal,West Virginia,Million dollars,2000,8.3537
Beef and veal,West Virginia,Million dollars,2001,7.2005
Beef and veal,West Virginia,Million dollars,2002,7.0866
Beef and veal,West Virginia,Million dollars,2003,7.6096
Beef and veal,West Virginia,Million dollars,2004,1.4882
Beef and veal,West Virginia,Million dollars,2005,3.1792
Beef and veal,West Virginia,Million dollars,2006,4.6875
Beef and veal,West Virginia,Million dollars,2007,6.0723
Beef and veal,West Virginia,Million dollars,2008,7.6229
Beef and veal,West Virginia,Million dollars,2009,9.4046
Beef and veal,West Virginia,Million dollars,2010,9.2773
Beef and veal,West Virginia,Million dollars,2011,11.9768
Beef and veal,West Virginia,Million dollars,2012,14.3819
Beef and veal,West Virginia,Million dollars,2013,18.6541
Beef and veal,West Virginia,Million dollars,2014,22.318
Beef and veal,West Virginia,Million dollars,2015,17.0128
Beef and veal,West Virginia,Million dollars,2016,16.9687
Beef and veal,West Virginia,Million dollars,2017,21.0829
Beef and veal,West Virginia,Million dollars,2018,22.1523
Beef and veal,West Virginia,Million dollars,2019,19.5841
Beef and veal,West Virginia,Million dollars,2020,20.9184
Beef and veal,West Virginia,Million dollars,2022,26.9752
Beef and veal,West Virginia,Million dollars,2023,25.5065
Beef and veal,West Virginia,Million dollars,2021,25.4731
Beef and veal,Wisconsin,Million dollars,2000,62.1261
Beef and veal,Wisconsin,Million dollars,2001,59.3789
Beef and veal,Wisconsin,Million dollars,2002,52.7845
Beef and veal,Wisconsin,Million dollars,2003,60.4898
Beef and veal,Wisconsin,Million dollars,2004,13.848
Beef and veal,Wisconsin,Million dollars,2005,24.8357
Beef and veal,Wisconsin,Million dollars,2006,37.7178
Beef and veal,Wisconsin,Million dollars,2007,45.0607
Beef and veal,Wisconsin,Million dollars,2008,54.1072
Beef and veal,Wisconsin,Million dollars,2009,51.2463
Beef and veal,Wisconsin,Million dollars,2010,68.2698
Beef and veal,Wisconsin,Million dollars,2011,107.3109
Beef and veal,Wisconsin,Million dollars,2012,105.2954
Beef and veal,Wisconsin,Million dollars,2013,142.9426
Beef and veal,Wisconsin,Million dollars,2014,164.1784
Beef and veal,Wisconsin,Million dollars,2015,171.6389
Beef and veal,Wisconsin,Million dollars,2016,163.7097
Beef and veal,Wisconsin,Million dollars,2017,200.2973
Beef and veal,Wisconsin,Million dollars,2018,218.2492
Beef and veal,Wisconsin,Million dollars,2019,199.7875
Beef and veal,Wisconsin,Million dollars,2020,187.3377
Beef and veal,Wisconsin,Million dollars,2022,308.124
Beef and veal,Wisconsin,Million dollars,2023,285.0725
Beef and veal,Wisconsin,Million dollars,2021,242.9473
Beef and veal,Wyoming,Million dollars,2000,63.9632
Beef and veal,Wyoming,Million dollars,2001,63.6718
Beef and veal,Wyoming,Million dollars,2002,56.8023
Beef and veal,Wyoming,Million dollars,2003,55.0425
Beef and veal,Wyoming,Million dollars,2004,13.8878
Beef and veal,Wyoming,Million dollars,2005,19.6422
Beef and veal,Wyoming,Million dollars,2006,30.7269
Beef and veal,Wyoming,Million dollars,2007,37.6505
Beef and veal,Wyoming,Million dollars,2008,39.6035
Beef and veal,Wyoming,Million dollars,2009,43.7006
Beef and veal,Wyoming,Million dollars,2010,58.3753
Beef and veal,Wyoming,Million dollars,2011,75.1234
Beef and veal,Wyoming,Million dollars,2012,82.352
Beef and veal,Wyoming,Million dollars,2013,96.7257
Beef and veal,Wyoming,Million dollars,2014,105.6878
Beef and veal,Wyoming,Million dollars,2015,85.2848
Beef and veal,Wyoming,Million dollars,2016,86.6035
Beef and veal,Wyoming,Million dollars,2017,98.0653
Beef and veal,Wyoming,Million dollars,2018,117.353
Beef and veal,Wyoming,Million dollars,2019,108.6002
Beef and veal,Wyoming,Million dollars,2020,107.0882
Beef and veal,Wyoming,Million dollars,2022,145.5892
Beef and veal,Wyoming,Million dollars,2023,126.6605
Beef and veal,Wyoming,Million dollars,2021,142.3922
